1,alltrksluiz1,eos.t0.re.4499.txt
2,alltrksluiz2,eos.t0.re.4505.txt
3,alltrksluiz3,eos.t0.re.4510.txt
4,alltrksluiz4,eos.t0.re.4509.9960.txt
5,alltrksluiz5,eos.t0.re.4509.9961.txt
6,alltrksluiz6,eos.t0.re.4509.9962.txt
7,alltrksluiz7,eos.t0.re.4509.9964.txt
8,alltrksluiz8,eos.t0.re.4509.9971.txt
9,alltrksluiz9,eos.t0.re.4509.9976.txt
10,alltrksluiz10,eos.t0.re.4509.9978.txt
11,alltrksluiz11,eos.t0.re.4509.xx85.txt
12,alltrksluiz12,eos.t0.re.4509.xx88.txt
13,alltrksluiz13,eos.t0.re.4511.9997.txt
14,alltrksluiz14,eos.t0.re.4511.9998.txt 
